test_0000	21624266.915881656
test_0001	26713062.016451396
test_0002	25586979.23243202
test_0003	27433448.84679426
test_0004	26192568.86260091
test_0005	25123846.851246815
test_0006	26701059.379925385
test_0007	25568436.408975326
test_0008	26591418.632986914
test_0009	28599542.19085148
test_0010	27107791.563523136
test_0011	33498407.034111522
test_0012	36549335.542000726
test_0013	38957870.36688711
test_0014	27200303.824716263
test_0015	26343640.434969142
test_0016	19369098.706318997
test_0017	19673602.847835608
test_0018	18924636.46657817
test_0019	20572029.327914648
test_0020	20829312.296410203
test_0021	19795015.66239122
test_0022	20385045.704534687
test_0023	18021533.999472022
test_0024	20138892.26080001
test_0025	19795015.66239122
test_0026	19309274.35212338
test_0027	18502910.302409437
test_0028	19889922.910749577
test_0029	18502910.302409437
test_0030	18994858.14757281
test_0031	18880556.503581874
test_0032	19097712.618190505
test_0033	19619778.831886142
test_0034	20037255.4530258
test_0035	30874198.1445327
test_0036	30811854.682711672
test_0037	28167363.224614143
test_0038	30562505.72451346
test_0039	28163669.760629147
test_0040	30590760.836390633
test_0041	28245266.65323838
test_0042	31008693.81969223
test_0043	30983121.696528472
test_0044	28292742.108955193
test_0045	28163669.760629147
test_0046	20960437.060625333
test_0047	22293690.525802154
test_0048	25520811.76918878
test_0049	24829736.520814754
test_0050	25520811.76918878
test_0051	19951577.023850136
test_0052	36952308.52608372
test_0053	36548490.45920977
test_0054	36867110.986023866
test_0055	35664786.18357514
test_0056	28676893.322875638
test_0057	28759893.264976762
test_0058	34627525.42244674
test_0059	34454102.2041847
test_0060	34848289.97572785
test_0061	30863800.57692837
test_0062	37651305.062964335
test_0063	36158219.68991141
test_0064	24144896.105472602
test_0065	26477112.67351984
test_0066	26367228.1228613
test_0067	26228243.857067987
test_0068	24522209.84553711
test_0069	25197112.224177856
test_0070	24385722.054709118
test_0071	30619971.044187225
test_0072	22980922.024362795
test_0073	29274149.36732908
test_0074	27593971.637482356
test_0075	30608221.20625624
test_0076	27688180.848597992
test_0077	31718650.87800656
test_0078	22580630.12126136
test_0079	29631445.280137997
test_0080	28357596.18809691
test_0081	18171543.97230045
test_0082	21017910.17229776
test_0083	28346261.46042455
test_0084	26975027.92121174
test_0085	26975027.92121174
test_0086	26975027.92121174
test_0087	33388442.428150903
test_0088	33055038.873303115
test_0089	30290322.058152597
test_0090	32423757.275202792
test_0091	29291330.80622216
test_0092	28491064.74720042
test_0093	32998467.745626766
test_0094	30741227.682169188
test_0095	32971608.28725
test_0096	29078056.941033304
test_0097	29001035.865066886
test_0098	31122614.0678645
test_0099	25325559.242975283
test_0100	32877134.717569727
test_0101	25161238.29078577
